Member_number,Date,itemDescription
2515,22-07-2015,frankfurter
4687,13-01-2015,bottled water
3743,06-05-2015,canned beer
1031,15-10-2015,other vegetables
4245,04-06-2015,bottled water
1851,29-06-2015,berries
1788,20-12-2015,dessert
3166,15-01-2015,pip fruit
4108,27-09-2015,pork
4078,25-04-2015,frankfurter
1784,26-09-2015,bottled water
4001,21-06-2015,tropical fruit
3202,14-11-2015,pip fruit
1939,15-07-2015,tropical fruit
2530,30-08-2015,bottled beer
2893,12-12-2015,candles
3666,16-02-2015,spread cheese
1123,12-11-2015,pork
1098,07-05-2015,canned beer
4319,21-05-2015,pork
4761,01-03-2015,beverages
3790,26-07-2015,sausage
4296,28-07-2015,tropical fruit
4450,30-07-2015,UHT-milk
2434,18-09-2015,soda
3779,10-11-2015,ham
1613,03-08-2015,white wine
3209,28-12-2015,UHT-milk
4895,07-09-2015,sausage
1654,25-03-2015,whisky
1126,29-04-2015,misc. beverages
1254,19-04-2015,white wine
3168,02-05-2015,soda
1892,30-09-2015,margarine
1936,20-05-2015,other vegetables
3132,30-07-2015,chicken
4316,11-01-2015,other vegetables
4375,05-10-2015,sausage
3468,08-07-2015,pastry
2488,19-08-2015,processed cheese
1769,30-12-2015,rolls/buns
4937,10-04-2015,chicken
3389,17-08-2015,berries
1439,13-08-2015,frankfurter
2542,24-11-2015,whole milk
2065,22-01-2015,pip fruit
3830,10-07-2015,soda
3686,01-04-2015,soda
2774,28-10-2015,yogurt
2204,16-07-2015,pork
4833,10-03-2015,onions
1477,08-02-2015,liquor
4697,11-09-2015,onions
2435,29-09-2015,beef
2164,19-03-2015,rolls/buns
3557,02-02-2015,frankfurter
4319,08-11-2015,sausage
3615,13-08-2015,whole milk
1902,21-10-2015,pork
4390,20-01-2015,whole milk
1985,26-11-2015,bottled water
1265,29-09-2015,shopping bags
2023,31-08-2015,citrus fruit
4288,25-09-2015,meat
2261,29-06-2015,sausage
3073,17-01-2015,berries
2406,04-09-2015,canned beer
3983,20-07-2015,chicken
1737,23-01-2015,whole milk
1304,30-04-2015,rolls/buns
4227,20-08-2015,hamburger meat
3987,17-06-2015,citrus fruit
4127,12-11-2015,bottled beer
1734,20-03-2015,beef
2770,15-07-2015,yogurt
1454,13-01-2015,meat
2256,21-08-2015,pastry
2625,18-11-2015,other vegetables
4335,05-12-2015,tidbits
3738,24-05-2015,potato products
2394,19-08-2015,waffles
1927,15-05-2015,tropical fruit
3681,14-10-2015,whole milk
2435,30-08-2015,bottled beer
1728,15-08-2015,soda
4708,14-04-2015,meat
1010,31-07-2015,pip fruit
3735,20-04-2015,rolls/buns
3331,19-05-2015,frankfurter
2383,05-10-2015,soda
1160,20-11-2015,pip fruit
4890,22-04-2015,rolls/buns
3513,29-05-2015,onions
2525,14-01-2015,whole milk
3708,03-09-2015,pastry
4746,06-06-2015,ham
4784,11-09-2015,root vegetables
2051,02-01-2015,photo/film
4745,12-04-2015,bottled beer
4364,17-01-2015,dessert
1493,23-02-2015,beverages
1330,18-05-2015,chicken
1777,10-07-2015,whole milk
2633,10-07-2015,hard cheese
1917,23-01-2015,pork
4891,09-01-2015,soda
3828,15-06-2015,yogurt
2282,11-05-2015,citrus fruit
2743,10-08-2015,soda
2704,18-11-2015,frankfurter
4170,11-07-2015,ice cream
3867,07-09-2015,brown bread
2592,23-04-2015,sugar
1894,03-10-2015,other vegetables
2348,08-09-2015,newspapers
3747,24-02-2015,nuts/prunes
4220,21-08-2015,yogurt
4504,04-09-2015,root vegetables
3175,23-11-2015,chicken
4240,28-06-2015,other vegetables
4608,25-11-2015,fruit/vegetable juice
3053,03-12-2015,hamburger meat
4096,29-06-2015,hamburger meat
2517,28-01-2015,sausage
1899,24-10-2015,pastry
2934,11-05-2015,root vegetables
2508,27-12-2015,soda
1527,14-05-2015,UHT-milk
1431,07-11-2015,citrus fruit
4148,09-02-2015,sausage
3862,05-03-2015,condensed milk
3402,11-04-2015,frozen meals
3178,08-12-2015,dessert
2134,26-09-2015,beef
1038,23-04-2015,pip fruit
4780,19-09-2015,soda
1251,26-11-2015,canned beer
4293,30-09-2015,mayonnaise
3676,24-10-2015,sausage
2992,09-11-2015,pip fruit
4124,22-05-2015,whole milk
4756,18-09-2015,tropical fruit
1422,04-10-2015,pip fruit
1229,20-03-2015,ham
4733,19-01-2015,pip fruit
2053,17-09-2015,cereals
4230,15-03-2015,sausage
3968,12-11-2015,dessert
4935,02-04-2015,tropical fruit
2290,12-01-2015,whole milk
2143,25-07-2015,canned beer
3657,22-01-2015,sausage
4369,25-08-2015,beverages
2639,12-11-2015,pip fruit
2706,14-08-2015,sausage
2133,05-08-2015,soda
3635,23-07-2015,beef
2734,30-03-2015,whipped/sour cream
1080,14-05-2015,root vegetables
4413,11-10-2015,hamburger meat
1729,28-08-2015,meat
2167,18-10-2015,tropical fruit
1391,19-03-2015,sausage
3347,05-06-2015,sausage
4091,28-12-2015,yogurt
4589,10-07-2015,white bread
3590,27-02-2015,sausage
4147,02-01-2015,white wine
4187,14-09-2015,pip fruit
2613,11-04-2015,soda
4197,03-11-2015,soda
4553,13-06-2015,curd
3045,26-03-2015,tropical fruit
2079,19-07-2015,curd
1108,30-07-2015,brown bread
4306,26-04-2015,domestic eggs
2761,02-03-2015,chocolate
3931,08-03-2015,soda
4351,08-05-2015,cooking chocolate
2788,03-09-2015,butter
3962,28-05-2015,pork
3690,21-05-2015,sausage
4937,28-06-2015,shopping bags
2544,20-01-2015,tropical fruit
2439,31-10-2015,bottled water
2952,11-08-2015,citrus fruit
1472,19-09-2015,root vegetables
3781,21-04-2015,root vegetables
1079,09-09-2015,rolls/buns
4636,05-01-2015,yogurt
4644,25-08-2015,dog food
2226,17-02-2015,other vegetables
4477,15-02-2015,hamburger meat
3132,29-08-2015,berries
4295,24-03-2015,sausage
2918,11-12-2015,bottled water
3167,03-02-2015,chocolate
1993,22-05-2015,root vegetables
4643,08-08-2015,tidbits
3999,06-02-2015,whole milk
2625,22-03-2015,citrus fruit
2398,08-01-2015,tropical fruit
2945,19-07-2015,chicken
3523,26-04-2015,newspapers
1726,26-12-2015,other vegetables
4540,24-02-2015,butter
4479,10-02-2015,semi-finished bread
1472,11-02-2015,bottled beer
1149,12-12-2015,seasonal products
2504,02-08-2015,pork
4835,09-12-2015,whole milk
1832,17-11-2015,sausage
1403,25-03-2015,salty snack
4856,18-01-2015,root vegetables
3369,22-02-2015,frankfurter
4364,24-12-2015,other vegetables
4686,12-11-2015,chocolate
2876,22-03-2015,sausage
1449,26-01-2015,finished products
3499,04-05-2015,whole milk
3462,16-05-2015,shopping bags
1512,23-02-2015,whole milk
1551,14-01-2015,soda
3993,18-02-2015,rolls/buns
3494,25-03-2015,seasonal products
1819,25-06-2015,pip fruit
3581,06-09-2015,UHT-milk
3763,29-04-2015,canned beer
2807,03-07-2015,tropical fruit
1133,26-03-2015,pork
4923,19-04-2015,other vegetables
3912,06-01-2015,berries
4312,19-10-2015,bottled water
3141,13-08-2015,waffles
5000,10-02-2015,soda
3327,30-04-2015,soda
1058,06-04-2015,sausage
4397,03-04-2015,pastry
3694,27-10-2015,frozen meals
3346,11-05-2015,tropical fruit
1039,31-05-2015,salty snack
1081,21-01-2015,tropical fruit
3064,02-01-2015,pork
4794,27-10-2015,ham
4933,02-01-2015,sausage
3312,13-10-2015,domestic eggs
1303,29-05-2015,whole milk
4756,29-03-2015,other vegetables
3595,06-08-2015,bottled beer
2747,02-02-2015,ham
4113,13-08-2015,frankfurter
2882,26-04-2015,sausage
1980,15-10-2015,bottled water
3534,11-11-2015,sausage
4452,23-11-2015,pork
1883,26-05-2015,frankfurter
4160,12-08-2015,Instant food products
3212,18-04-2015,ham
2327,08-12-2015,bottled beer
1874,29-07-2015,frozen vegetables
4439,01-01-2015,butter
4883,10-01-2015,berries
1873,22-02-2015,frankfurter
4228,18-04-2015,tropical fruit
2868,04-12-2015,beef
4102,23-09-2015,frankfurter
1013,02-10-2015,white bread
1928,15-08-2015,citrus fruit
2064,21-08-2015,whole milk
3416,15-11-2015,frozen meals
1536,05-01-2015,frankfurter
1953,09-03-2015,beef
1327,04-07-2015,sausage
3415,27-05-2015,pet care
2517,22-03-2015,napkins
4334,12-10-2015,frankfurter
4515,15-06-2015,soda
1527,20-04-2015,citrus fruit
1726,02-11-2015,other vegetables
4734,10-02-2015,sausage
2356,15-06-2015,beef
2244,29-03-2015,other vegetables
4281,03-04-2015,rolls/buns
2977,14-04-2015,other vegetables
2119,24-09-2015,other vegetables
3208,24-06-2015,root vegetables
2663,18-05-2015,cat food
3344,01-04-2015,whole milk
3592,14-12-2015,oil
2106,24-11-2015,frankfurter
3356,23-05-2015,tropical fruit
3227,30-11-2015,soda
1505,27-07-2015,shopping bags
1035,24-04-2015,whole milk
4312,14-12-2015,sausage
1253,20-06-2015,sausage
2260,30-10-2015,sausage
3710,22-08-2015,whole milk
1846,29-11-2015,sausage
3520,09-11-2015,detergent
2816,19-06-2015,pastry
1051,10-11-2015,fish
1754,08-07-2015,canned beer
3593,31-08-2015,canned beer
1421,07-08-2015,bottled beer
3104,04-06-2015,rolls/buns
1283,30-05-2015,bottled water
1130,18-09-2015,bottled water
2816,01-10-2015,rolls/buns
4594,23-06-2015,meat
4192,16-12-2015,yogurt
3208,20-11-2015,rolls/buns
1949,11-04-2015,soda
4268,25-04-2015,rolls/buns
2672,17-01-2015,frozen meals
2372,03-09-2015,other vegetables
4482,07-08-2015,dishes
1048,06-10-2015,rolls/buns
4831,19-02-2015,rolls/buns
3441,12-04-2015,other vegetables
3380,11-11-2015,coffee
1654,09-11-2015,frozen dessert
2408,21-06-2015,ham
4699,01-08-2015,frankfurter
2670,29-04-2015,yogurt
4292,18-08-2015,citrus fruit
4303,22-02-2015,sausage
2011,22-03-2015,frankfurter
3657,29-09-2015,liver loaf
1435,14-01-2015,pork
4445,20-05-2015,frozen fish
4030,15-08-2015,herbs
1204,11-04-2015,grapes
1235,01-01-2015,sausage
3984,03-02-2015,frankfurter
3637,25-11-2015,frankfurter
1931,02-07-2015,chocolate
4486,23-10-2015,frankfurter
4529,03-01-2015,whole milk
1827,07-05-2015,sausage
3054,27-05-2015,tropical fruit
2524,21-10-2015,herbs
1855,09-11-2015,ham
3242,23-02-2015,frankfurter
4431,21-08-2015,chicken
4555,23-07-2015,tropical fruit
4299,08-02-2015,citrus fruit
2905,22-10-2015,tropical fruit
3323,09-12-2015,beef
2796,17-10-2015,other vegetables
2129,04-03-2015,bottled beer
1501,17-08-2015,bottled water
2814,17-07-2015,newspapers
1105,22-05-2015,bottled water
3798,04-09-2015,curd
3025,21-04-2015,citrus fruit
4592,13-07-2015,citrus fruit
4463,03-11-2015,pork
2916,13-06-2015,house keeping products
1838,25-03-2015,tropical fruit
1126,17-05-2015,newspapers
2800,02-10-2015,pip fruit
4485,25-07-2015,root vegetables
3262,08-07-2015,whole milk
4030,22-12-2015,pip fruit
3370,03-02-2015,soda
3489,01-09-2015,misc. beverages
2386,03-01-2015,beverages
3774,16-02-2015,ice cream
3818,13-05-2015,other vegetables
3434,10-06-2015,chicken
3438,27-12-2015,grapes
1140,01-05-2015,photo/film
1051,12-10-2015,tropical fruit
3071,26-03-2015,coffee
3872,28-03-2015,specialty chocolate
4215,30-06-2015,specialty bar
3806,15-03-2015,yogurt
1869,16-05-2015,root vegetables
1668,05-05-2015,chicken
1163,14-12-2015,whole milk
4787,17-05-2015,sausage
4811,11-01-2015,butter milk
4364,05-09-2015,sausage
4572,02-08-2015,UHT-milk
3222,05-08-2015,shopping bags
3404,24-03-2015,pasta
2221,18-12-2015,soda
3646,31-01-2015,pip fruit
4102,15-07-2015,fish
2718,12-06-2015,canned beer
1403,16-05-2015,hamburger meat
4548,30-05-2015,whole milk
4340,06-08-2015,pork
2856,21-08-2015,meat
1041,02-04-2015,hamburger meat
1564,19-06-2015,tropical fruit
4552,17-10-2015,whole milk
2516,31-07-2015,light bulbs
4246,13-06-2015,yogurt
1090,21-10-2015,ice cream
2889,20-01-2015,citrus fruit
2229,31-01-2015,pet care
4558,05-04-2015,whipped/sour cream
2018,20-04-2015,chicken
4898,26-07-2015,sausage
4998,14-10-2015,rolls/buns
2165,28-01-2015,soda
3075,15-10-2015,other vegetables
3973,28-01-2015,root vegetables
3775,27-10-2015,root vegetables
3135,26-07-2015,yogurt
2738,25-07-2015,other vegetables
4455,24-10-2015,yogurt
2780,03-09-2015,liver loaf
3593,27-05-2015,tropical fruit
1876,16-06-2015,tropical fruit
4694,18-11-2015,hamburger meat
4273,01-06-2015,margarine
4968,13-11-2015,bottled beer
2449,21-04-2015,bottled beer
1536,02-05-2015,whole milk
2188,28-11-2015,rolls/buns
4197,13-05-2015,butter
2379,11-08-2015,hamburger meat
4696,18-08-2015,chewing gum
2680,03-01-2015,sausage
4525,11-05-2015,liqueur
1098,12-11-2015,grapes
1222,07-08-2015,canned beer
2316,08-06-2015,canned beer
1950,14-06-2015,other vegetables
3186,03-08-2015,ham
2540,05-03-2015,sausage
1789,11-06-2015,beef
1574,04-08-2015,specialty chocolate
2152,23-07-2015,butter
1493,01-10-2015,semi-finished bread
3044,09-05-2015,coffee
2874,09-09-2015,pip fruit
3556,30-09-2015,hamburger meat
3255,24-05-2015,rolls/buns
2521,14-12-2015,root vegetables
3220,14-10-2015,pork
1381,06-03-2015,other vegetables
4050,06-07-2015,chicken
1872,29-01-2015,misc. beverages
4127,11-04-2015,canned beer
2833,14-08-2015,citrus fruit
2357,23-09-2015,waffles
2654,03-03-2015,root vegetables
4852,28-04-2015,yogurt
2222,21-07-2015,berries
2340,12-07-2015,sausage
1987,15-10-2015,citrus fruit
3570,02-09-2015,UHT-milk
1320,19-01-2015,finished products
2209,20-07-2015,cat food
2500,30-03-2015,canned beer
3315,12-09-2015,canned beer
2548,16-11-2015,fruit/vegetable juice
4473,07-09-2015,pork
2271,16-06-2015,frankfurter
4336,10-10-2015,sausage
2763,01-02-2015,pork
2780,11-10-2015,liquor
2632,16-01-2015,frozen meals
2568,20-08-2015,beef
1729,23-07-2015,frankfurter
3878,28-07-2015,frankfurter
1225,26-03-2015,dessert
1924,17-11-2015,root vegetables
4335,10-06-2015,sausage
3182,12-03-2015,butter
4303,23-08-2015,other vegetables
3042,02-10-2015,whole milk
4493,29-10-2015,frankfurter
4194,07-02-2015,bottled water
3031,18-12-2015,pip fruit
3891,03-07-2015,rolls/buns
1062,16-04-2015,tropical fruit
2469,23-03-2015,other vegetables
3719,03-09-2015,meat
3322,11-02-2015,bottled beer
1336,10-03-2015,pet care
1067,20-07-2015,rolls/buns
1998,15-05-2015,root vegetables
1076,14-10-2015,ham
1992,02-08-2015,rolls/buns
1261,21-05-2015,rolls/buns
4409,15-01-2015,UHT-milk
3031,30-08-2015,frankfurter
2129,18-03-2015,whole milk
1684,03-01-2015,whole milk
4240,18-09-2015,citrus fruit
2750,14-09-2015,other vegetables
1379,13-07-2015,popcorn
4243,22-08-2015,canned beer
2469,12-01-2015,pork
2346,17-09-2015,chicken
2366,18-08-2015,UHT-milk
2374,23-06-2015,brandy
1721,15-10-2015,other vegetables
2877,10-04-2015,pip fruit
3848,11-10-2015,bottled beer
4344,01-03-2015,sausage
3475,10-06-2015,bottled beer
3650,17-07-2015,other vegetables
2318,16-01-2015,other vegetables
1776,02-03-2015,whole milk
3120,07-07-2015,yogurt
1194,13-05-2015,butter
2089,17-04-2015,canned beer
2095,06-04-2015,pip fruit
1736,29-08-2015,rolls/buns
3718,12-07-2015,canned beer
4950,22-04-2015,rolls/buns
2481,24-11-2015,rolls/buns
1296,06-11-2015,pip fruit
2824,07-12-2015,pork
4852,29-06-2015,frankfurter
1648,27-02-2015,sausage
3307,06-10-2015,citrus fruit
4259,24-06-2015,brown bread
2587,02-06-2015,soda
4303,08-04-2015,canned beer
1325,26-05-2015,bottled water
3351,14-10-2015,pork
1623,18-01-2015,frozen meals
3119,20-02-2015,chicken
1211,24-05-2015,rolls/buns
4146,09-02-2015,pork
1753,26-02-2015,sausage
4664,26-05-2015,rolls/buns
3827,03-11-2015,soda
1098,27-09-2015,root vegetables
4338,27-08-2015,beverages
3712,20-12-2015,sausage
1505,27-10-2015,frankfurter
4478,02-08-2015,UHT-milk
4150,23-08-2015,whole milk
1118,25-12-2015,whole milk
2537,07-05-2015,sausage
1996,10-05-2015,canned beer
4267,13-09-2015,sausage
4424,16-10-2015,beef
1948,06-05-2015,baking powder
3495,01-02-2015,canned beer
2327,18-03-2015,frankfurter
3356,12-01-2015,meat
3926,23-03-2015,yogurt
4105,03-12-2015,sausage
1884,05-08-2015,root vegetables
4799,09-02-2015,canned beer
4915,18-09-2015,canned beer
2643,01-12-2015,tropical fruit
3927,03-09-2015,tropical fruit
2410,18-11-2015,citrus fruit
1855,28-04-2015,chicken
1245,02-03-2015,dessert
3138,19-04-2015,other vegetables
1178,19-04-2015,other vegetables
1870,05-09-2015,onions
4660,10-07-2015,frozen vegetables
3241,09-08-2015,chicken
4661,18-04-2015,chicken
2407,10-03-2015,onions
2440,19-06-2015,meat
4634,15-05-2015,ham
4112,14-02-2015,citrus fruit
2428,21-08-2015,yogurt
3604,14-03-2015,frankfurter
3671,03-08-2015,dishes
2880,19-06-2015,pork
3946,19-06-2015,butter milk
4495,20-06-2015,coffee
3355,02-12-2015,chicken
3959,27-05-2015,pip fruit
1583,23-11-2015,soda
3998,28-03-2015,yogurt
4509,29-11-2015,berries
1008,03-10-2015,hamburger meat
4894,23-12-2015,canned beer
4252,10-04-2015,turkey
3428,16-03-2015,beverages
1988,08-09-2015,bottled beer
4662,19-10-2015,pastry
3165,27-11-2015,pip fruit
1920,16-02-2015,whole milk
4157,04-01-2015,hamburger meat
1945,30-04-2015,chocolate
4104,27-07-2015,other vegetables
2865,14-05-2015,oil
4788,28-04-2015,beef
1903,25-01-2015,bottled water
3578,16-05-2015,sausage
2238,06-12-2015,sausage
3671,11-10-2015,pork
3088,03-12-2015,frankfurter
1832,17-04-2015,whipped/sour cream
4785,13-09-2015,canned beer
1322,19-10-2015,pork
4439,18-03-2015,whole milk
1698,26-06-2015,other vegetables
3558,25-04-2015,whole milk
3026,01-01-2015,citrus fruit
1127,15-10-2015,other vegetables
4153,05-02-2015,other vegetables
4258,22-04-2015,beef
2582,14-11-2015,meat
1466,01-12-2015,sausage
4185,16-01-2015,pip fruit
1889,09-02-2015,beef
3396,14-05-2015,chicken
3412,26-01-2015,canned beer
3321,13-07-2015,sausage
3484,21-11-2015,whole milk
1937,17-10-2015,whole milk
2101,20-12-2015,sausage
4006,18-12-2015,coffee
3732,18-07-2015,nuts/prunes
1276,28-04-2015,sausage
4916,01-03-2015,coffee
2040,06-04-2015,chicken
2255,01-05-2015,tropical fruit
1239,25-07-2015,finished products
4992,20-06-2015,whole milk
3225,12-06-2015,beef
2421,21-11-2015,abrasive cleaner
3303,25-01-2015,bottled water
3455,13-09-2015,other vegetables
1484,07-10-2015,beef
3591,11-05-2015,whole milk
2487,27-03-2015,tropical fruit
1380,20-04-2015,candy
2786,25-03-2015,sausage
1885,27-05-2015,butter milk
1295,28-01-2015,sausage
2184,23-01-2015,frankfurter
4054,06-05-2015,rolls/buns
3972,08-06-2015,canned beer
1216,19-06-2015,canned beer
1347,31-07-2015,whole milk
4190,04-04-2015,citrus fruit
3264,05-04-2015,margarine
2942,01-02-2015,sausage
2932,22-01-2015,sausage
4049,01-08-2015,chicken
1954,06-08-2015,shopping bags
2321,16-06-2015,tropical fruit
2930,23-03-2015,other vegetables
3214,27-03-2015,butter
4877,20-06-2015,root vegetables
1277,07-06-2015,photo/film
2239,13-12-2015,sausage
4929,26-03-2015,turkey
1390,02-03-2015,pastry
1870,09-09-2015,pork
3405,03-04-2015,photo/film
2338,08-12-2015,photo/film
2051,11-09-2015,frankfurter
3504,06-07-2015,pip fruit
3405,13-04-2015,beef
2512,02-09-2015,whole milk
4038,06-11-2015,root vegetables
1759,26-09-2015,bottled beer
2813,01-10-2015,whole milk
3055,18-08-2015,other vegetables
1733,18-03-2015,whole milk
1913,18-08-2015,finished products
4864,27-03-2015,bottled beer
4812,27-05-2015,beverages
3042,05-10-2015,other vegetables
4988,04-10-2015,canned beer
4486,21-07-2015,canned beer
4069,03-05-2015,rolls/buns
4600,14-07-2015,beef
3588,05-05-2015,citrus fruit
4175,29-01-2015,rolls/buns
2599,30-07-2015,specialty chocolate
4671,15-07-2015,frankfurter
2270,09-06-2015,whole milk
2494,05-05-2015,pip fruit
1406,28-12-2015,tropical fruit
3910,18-12-2015,liver loaf
3358,21-02-2015,citrus fruit
1943,14-01-2015,frankfurter
1995,12-06-2015,soft cheese
4666,24-02-2015,ham
1994,11-03-2015,whole milk
4892,09-01-2015,other vegetables
3531,29-08-2015,sausage
1148,15-04-2015,yogurt
1787,31-10-2015,frozen meals
4215,31-05-2015,pork
2158,01-08-2015,rolls/buns
2510,29-09-2015,margarine
3180,19-10-2015,root vegetables
3207,08-08-2015,pip fruit
1226,12-11-2015,beef
1682,25-06-2015,pip fruit
1509,04-11-2015,chicken
2364,21-06-2015,whole milk
4679,10-11-2015,chicken
4324,05-01-2015,sausage
3497,14-06-2015,other vegetables
1008,21-07-2015,tropical fruit
4572,29-10-2015,sausage
4030,04-07-2015,chicken
2422,12-08-2015,hamburger meat
2694,24-11-2015,whole milk
3481,03-08-2015,citrus fruit
3821,03-01-2015,ham
3752,20-08-2015,whole milk
3262,08-12-2015,frankfurter
1370,28-06-2015,white bread
1090,31-08-2015,sausage
3862,18-11-2015,sliced cheese
4495,08-04-2015,frankfurter
2492,01-11-2015,yogurt
4688,01-08-2015,root vegetables
3633,14-07-2015,rolls/buns
3709,08-08-2015,berries
1220,09-02-2015,rolls/buns
4236,25-11-2015,beef
3308,19-08-2015,chicken
1183,12-06-2015,sausage
1999,24-08-2015,rolls/buns
4828,11-10-2015,rolls/buns
3608,12-10-2015,sausage
3983,09-09-2015,butter milk
3460,24-07-2015,pork
1703,21-02-2015,pork
1969,23-07-2015,sausage
2646,03-06-2015,soda
1777,22-04-2015,tropical fruit
4967,06-08-2015,pip fruit
4291,29-07-2015,citrus fruit
2267,11-11-2015,semi-finished bread
3579,02-06-2015,sausage
3959,05-10-2015,tropical fruit
2271,20-11-2015,whole milk
3621,09-04-2015,berries
3491,11-06-2015,ham
1542,28-04-2015,curd
4098,09-01-2015,soda
4117,11-08-2015,pot plants
3289,31-03-2015,yogurt
1883,05-11-2015,meat
3659,21-06-2015,citrus fruit
1364,20-06-2015,root vegetables
3184,04-09-2015,whole milk
3113,05-03-2015,coffee
1135,29-04-2015,whole milk
1394,14-02-2015,whole milk
2381,13-01-2015,sausage
4110,28-11-2015,whole milk
4043,21-01-2015,frankfurter
3491,06-06-2015,fruit/vegetable juice
2044,16-12-2015,meat
4191,28-04-2015,other vegetables
1312,18-05-2015,frankfurter
2191,10-11-2015,specialty cheese
1032,23-08-2015,yogurt
3790,28-10-2015,chicken
3588,19-08-2015,whole milk
4598,18-03-2015,curd
3394,15-06-2015,pastry
2202,24-06-2015,frankfurter
2431,18-07-2015,chicken
4207,17-03-2015,frozen dessert
2580,24-10-2015,tropical fruit
4825,09-06-2015,tropical fruit
4368,12-10-2015,sausage
4852,17-06-2015,whole milk
1595,20-06-2015,finished products
1678,14-09-2015,pork
4667,07-05-2015,beef
2631,27-09-2015,sausage
1623,01-03-2015,citrus fruit
1784,26-05-2015,pip fruit
2379,19-09-2015,soda
4361,27-01-2015,other vegetables
3419,25-07-2015,tropical fruit
1286,12-08-2015,whole milk
1236,11-05-2015,whole milk
3585,06-03-2015,ham
4773,09-11-2015,tropical fruit
4114,05-04-2015,canned beer
4700,16-03-2015,ham
4120,01-12-2015,chicken
3416,07-07-2015,grapes
1038,02-04-2015,whole milk
3267,18-01-2015,frankfurter
3402,06-01-2015,curd
3013,21-08-2015,bottled beer
4807,27-01-2015,beef
2172,02-03-2015,citrus fruit
1388,03-04-2015,UHT-milk
3309,21-01-2015,salty snack
2194,05-06-2015,canned beer
4603,21-01-2015,pork
1631,05-02-2015,domestic eggs
2712,11-09-2015,other vegetables
2757,28-04-2015,beef
4761,08-09-2015,sausage
2688,22-11-2015,dish cleaner
2458,23-08-2015,frankfurter
4087,26-08-2015,frankfurter
4677,15-10-2015,frankfurter
3250,12-04-2015,tropical fruit
3488,19-08-2015,frankfurter
1679,24-06-2015,other vegetables
4820,23-07-2015,whole milk
2079,16-05-2015,soda
2460,27-10-2015,chicken
4286,06-06-2015,other vegetables
3050,10-08-2015,whole milk
2888,05-09-2015,sausage
2376,28-05-2015,sausage
4748,23-03-2015,pork
2311,06-06-2015,bottled water
4765,05-07-2015,butter milk
4199,04-08-2015,soda
2592,20-03-2015,chicken
1403,15-05-2015,frankfurter
4031,03-01-2015,frankfurter
1416,04-03-2015,sausage
4022,24-04-2015,chicken
3674,22-03-2015,beverages
3430,16-04-2015,fruit/vegetable juice
1113,29-03-2015,pork
4178,22-01-2015,frankfurter
4037,09-05-2015,soda
3917,13-09-2015,whipped/sour cream
4658,14-07-2015,sausage
1408,23-07-2015,root vegetables
4940,17-04-2015,liquor
1639,10-10-2015,frankfurter
4139,26-11-2015,coffee
2799,17-06-2015,butter
4041,16-10-2015,soda
3508,07-02-2015,seasonal products
1584,11-03-2015,frankfurter
4006,02-07-2015,canned beer
4593,07-04-2015,other vegetables
4875,22-08-2015,pastry
2534,09-08-2015,pet care
2413,13-12-2015,baking powder
1909,10-01-2015,sausage
4367,15-11-2015,sugar
4240,28-10-2015,pet care
1866,08-11-2015,pet care
3905,19-06-2015,berries
4906,16-09-2015,tropical fruit
4478,04-12-2015,soda
2765,22-07-2015,beef
4178,13-11-2015,tropical fruit
4330,22-06-2015,finished products
1659,25-03-2015,chewing gum
2406,24-10-2015,curd
3465,15-01-2015,chicken
3178,22-10-2015,bottled beer
2218,02-07-2015,herbs
3980,09-04-2015,yogurt
2519,14-03-2015,sausage
2568,09-10-2015,sausage
1130,15-01-2015,tropical fruit
1231,20-05-2015,white wine
2654,22-09-2015,frankfurter
3913,21-03-2015,canned beer
3276,23-02-2015,chicken
4094,30-03-2015,turkey
3997,19-07-2015,curd cheese
2313,18-02-2015,berries
2716,10-09-2015,tropical fruit
3923,27-01-2015,frankfurter
4541,18-04-2015,coffee
4524,26-08-2015,whole milk
1750,08-02-2015,onions
1527,30-12-2015,domestic eggs
1379,01-07-2015,other vegetables
2380,09-10-2015,hamburger meat
3259,02-09-2015,sausage
3268,13-07-2015,citrus fruit
3117,03-03-2015,pork
1972,02-06-2015,pork
1154,06-04-2015,root vegetables
2408,25-03-2015,sausage
2400,22-03-2015,bottled beer
1286,08-03-2015,herbs
3505,21-07-2015,soda
4503,19-12-2015,tropical fruit
4292,27-03-2015,sausage
4906,30-09-2015,soda
2745,08-04-2015,tropical fruit
4682,17-05-2015,sausage
2553,01-02-2015,whole milk
3985,18-02-2015,beverages
2741,28-09-2015,liver loaf
2642,01-04-2015,frankfurter
1873,14-02-2015,yogurt
3738,15-07-2015,other vegetables
2042,17-11-2015,yogurt
4669,27-05-2015,whole milk
2045,16-08-2015,pork
3450,03-10-2015,berries
2225,12-03-2015,berries
2290,10-09-2015,other vegetables
4494,02-11-2015,chicken
3539,24-01-2015,root vegetables
1002,26-04-2015,tropical fruit
3222,05-08-2015,citrus fruit
1711,22-11-2015,frankfurter
2436,24-11-2015,misc. beverages
2888,20-12-2015,pip fruit
4665,26-02-2015,sausage
2977,03-01-2015,rolls/buns
3052,04-07-2015,citrus fruit
4943,28-07-2015,sausage
1323,03-11-2015,syrup
1604,04-11-2015,pip fruit
2794,12-09-2015,whole milk
2253,21-07-2015,frankfurter
2873,03-09-2015,other vegetables
2707,22-06-2015,bottled water
2718,25-01-2015,whole milk
3711,08-07-2015,whole milk
